index,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
AGXY3,AGXY3,ON NM,AGROGALAXY ON NM,Agropecuária,Agricultura,8.47,2022-12-12,6.66,11.79,603278,1446890000,2599260000,2022-09-30,170825000,-2202,113,305,014,017,146,-479,2.0%,454,548,87.4%,-038,751,12.5%,4.4%,-0.6%,5.5%,11.3%,-5.1%,116,152,123,8705720000,795170000,7106210000,1947540000,1152370000,1282050000,10704400000,474727000,-65722000,3074310000,182096000,24358000,,,,,,
FRTA3,FRTA3,ON NM,POMIFRUTAS ON NM,Agropecuária,Agricultura,2.61,2022-12-12,2.57,6.00,4781,5359910,65820900,2022-09-30,2053610,-155,-008,-101,075,018,-006,-006,0.0%,-1372,-1242,-14.5%,-169,-3322,9.4%,-74.4%,-48.7%,-17.8%,-21.4%,5.1%,003,-089,024,29694000,305000,2676000,60766000,60461000,-68217000,7118000,-5299000,-3465000,210000,-2298000,-2857000,,,,,,
AGRO3,AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,26.15,2022-12-12,20.04,31.53,16934900,2677160000,2856010000,2022-09-30,102377000,613,118,481,157,077,307,1097,20.1%,463,514,39.8%,427,2221,38.8%,32.7%,25.7%,16.0%,20.3%,19.2%,251,029,049,3481820000,491509000,1451770000,670359000,178850000,2274110000,1700870000,556112000,436701000,314947000,12157000,42002000,,,,,,
SLCE3,SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,43.54,2022-12-12,32.51,57.65,57566000,9248880000,12260300000,2022-09-30,212423000,693,193,367,101,061,321,-316,5.6%,456,487,36.2%,628,2254,34.0%,27.4%,15.2%,16.7%,19.8%,27.9%,168,091,061,15101100000,1324820000,7099780000,4336190000,3011370000,4788890000,9195150000,2517110000,1334910000,1383160000,39103000,-63655000,,,,,,
TTEN3,TTEN3,ON NM,3TENTOS ON NM,Agropecuária,Agricultura,8.70,2022-12-12,7.85,13.52,16693600,4317090000,4239890000,2022-09-30,496218000,840,167,1231,068,074,270,434,0.2%,1100,1209,-,104,522,13.3%,5.5%,8.1%,6.0%,13.0%,19.8%,161,044,109,5828030000,1230280000,4229100000,1153070000,-77207000,2592340000,6364570000,350735000,514220000,1958910000,96701000,169160000,,,,,,
SOJA3,SOJA3,ON NM,BOA SAFRA ON NM,Agropecuária,Agricultura,9.51,2022-12-12,9.49,15.72,2851050,1114000000,1177970000,2022-09-30,117140000,946,152,917,075,066,256,357,1.1%,953,969,70.2%,101,625,10.1%,8.2%,7.9%,7.3%,13.5%,16.1%,158,066,089,1675620000,423011000,1188940000,486981000,63970000,732501000,1484590000,121508000,117789000,881526000,95365000,87721000,,,,,,
ORVR3,ORVR3,ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,32.10,2022-12-12,22.62,46.68,17173400,2295150000,2877580000,2022-09-30,71500000,-3634,556,2347,381,136,3103,-260,0.0%,1375,2943,57.2%,-088,578,35.8%,16.2%,-9.0%,5.8%,6.1%,-15.3%,125,148,036,1689870000,27289000,375080000,609725000,582436000,412995000,602378000,97777000,-63155000,197177000,12926000,-12386000,,,,,,
SAPR3,SAPR3,ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,3.26,2022-12-12,3.18,4.00,2032950,4926530000,8608280000,2022-09-30,1511210000,435,059,240,088,030,546,-092,6.6%,348,419,7.7%,075,556,57.7%,36.8%,20.3%,12.7%,14.0%,13.5%,160,058,035,16167300000,1227490000,2416480000,4909240000,3681750000,8408830000,5581610000,2052300000,1132560000,1432460000,544925000,274928000,,,,,,
SAPR11,SAPR11,UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,17.28,2022-12-12,16.71,20.27,25184300,5222730000,8904480000,2022-09-30,1511210000,461,062,254,094,032,579,-098,6.7%,360,434,7.7%,375,2782,57.7%,36.8%,20.3%,12.7%,14.0%,13.5%,160,058,035,16167300000,1227490000,2416480000,4909240000,3681750000,8408830000,5581610000,2052300000,1132560000,1432460000,544925000,274928000,,,,,,
SAPR4,SAPR4,PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,3.51,2022-12-12,3.41,4.05,10805700,5304330000,8986080000,2022-09-30,1511210000,468,063,258,095,033,588,-099,6.7%,363,438,7.7%,075,556,57.7%,36.8%,20.3%,12.7%,14.0%,13.5%,160,058,035,16167300000,1227490000,2416480000,4909240000,3681750000,8408830000,5581610000,2052300000,1132560000,1432460000,544925000,274928000,,,,,,
CSMG3,CSMG3,ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,14.86,2022-12-12,11.06,16.05,28437500,5650560000,8680140000,2022-09-30,380253000,884,079,501,092,045,87013,-166,2.6%,455,770,7.2%,168,1891,35.3%,18.3%,10.4%,9.0%,9.6%,8.9%,100,048,049,12471800000,405954000,1872630000,3435530000,3029580000,7191000000,6145180000,1127090000,639382000,1621760000,360957000,227168000,,,,,,
SBSP3,SBSP3,ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,54.44,2022-12-12,34.17,60.77,282308000,37210300000,52568100000,2022-09-30,683510000,1221,136,837,176,066,1617,-173,1.7%,769,1183,7.5%,446,4002,35.0%,21.0%,14.4%,7.9%,8.5%,11.1%,148,069,038,55994100000,3420650000,7138420000,18778400000,15357800000,27355300000,21187300000,4443030000,3046480000,5987740000,1516550000,1081060000,,,,,,
AMBP3,AMBP3,ON NM,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,20.10,2022-12-12,20.10,42.41,31713600,2270010000,5349760000,2022-09-30,112936000,2463,220,402,069,028,104,-076,1.5%,613,948,124.7%,082,915,21.9%,17.2%,4.2%,7.0%,10.3%,8.9%,237,528,041,8055200000,2381430000,3795170000,5461170000,3079740000,1033460000,3281180000,564360000,92157000,980028000,199913000,9858000,,,,,,
BRFS3,BRFS3,ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,7.46,2022-12-12,7.46,24.75,148084000,8075250000,23366400000,2022-09-30,1082470000,-606,067,716,015,014,135,-042,0.0%,582,2073,14.3%,-123,1109,16.7%,2.1%,-2.4%,1.9%,3.2%,-11.1%,128,200,089,59038000000,8754620000,27370800000,24045700000,15291100000,12000400000,52760800000,1127170000,-1332910000,14056000000,540654000,-122570000,,,,,,
MRFG3,MRFG3,ON NM,Marfrig ON NM,Alimentos Processados,Carnes e Derivados,7.68,2022-12-12,7.56,21.83,125151000,5068800000,47900500000,2022-09-30,660000000,093,074,051,004,004,046,-009,34.8%,340,486,44.8%,826,1035,15.9%,8.4%,4.9%,7.2%,10.0%,79.8%,127,920,085,137191000000,20058800000,51062800000,62890500000,42831700000,6832400000,117184000000,9853520000,5449330000,36416600000,2014500000,430660000,,,,,,
MNPR3,MNPR3,ON,MINUPAR ON,Alimentos Processados,Carnes e Derivados,6.14,2022-12-12,5.35,7.93,17091,43594000,43817000,2022-09-30,7100000,105,-014,072,012,014,-012,-009,0.0%,065,072,16.7%,584,-4505,28.3%,16.7%,11.4%,19.9%,20.8%,-13.0%,030,-000,119,303779000,273000,158752000,496000,223000,-319878000,362658000,60508000,41446000,95530000,16667000,7269000,,,,,,
